"","OutsideTemp","Wind","TankTemp","InsideTemp","EnergyCirculationPump","GreenEnergy","DeltaTemp"
"1",1.25,4.5,53.87622061,18.99996049,0.004054282,0,-0.05245106
"2",1.175,4.75,54.05295516,18.99958676,0.004198963,0,-0.00037373
"3",1.1,5,54.12547692,19.00019172,0.004238958,0,0.00060496
"4",0.925,5.5,54.1470954,19.00068014,0.004245674,0,0.00048842
"5",0.75,6,54.14214232,19.00013974,0.004395655,0,-0.0005404
"6",0.575,6.5,54.1240141,19.00073336,0.004410261,0,0.00059362
"7",0.4,7,54.10225917,18.99981295,0.004490958,0,-0.00092041
"8",0.475,7,54.08101274,19.0007068,0.004492893,0,0.00089385
"9",0.55,7,54.06387208,18.99926528,0.004502469,0,-0.00144152
"10",0.625,7,54.04907363,19.0009736,0.004513552,0,0.00170832
"11",0.7,7,54.03690659,19.00104601,0.004509359,0,7.24e-05
"12",0.875,6.75,54.02836802,19.00122885,0.004487765,0,0.00018284
"13",1.05,6.5,54.0230865,18.99924144,0.004464392,0,-0.00198741
"14",1.225,6.25,54.01942688,18.99906336,0.004450216,0,-0.00017808
"15",1.4,6,54.01702499,19.00015889,0.004427949,0,0.00109553
"16",1.55,6.25,53.37296113,18.99998397,0.0138628,0,-0.00017492
"17",1.7,6.5,52.96759169,19.00006831,0.014078235,0,8.43e-05
"18",1.85,6.75,52.95877397,18.99932908,0.011881439,0,-0.00073923
"19",2,7,53.02032592,18.99973825,0.011248717,0,0.00040917
"20",2.15,7,53.09290905,18.99912339,0.010973761,0,-0.00061486
"21",2.3,7,53.14579836,19.00042778,0.010839357,0,0.00130439
"22",2.45,7,53.18182854,18.99962588,0.010714032,0,-0.0008019
"23",2.6,7,53.20730395,19.00084887,0.010610978,0,0.00122299
"24",2.7,6.5,53.22793813,18.99926176,0.010474103,0,-0.00158711
"25",2.8,6,53.24612402,18.99927599,0.010362044,0,1.42e-05
"26",2.9,5.5,53.26282066,19.00048446,0.010237797,0,0.00120847
"27",3,5,53.08699365,19.00006407,0.0150772,0,-0.00042039
"28",3.075,5,52.85859181,19.00033997,0.016124428,0,0.0002759
"29",3.15,5,52.84194999,18.99937616,0.014139031,0,-0.00096381
