,Date,OutsideTemp,Wind,TankTemp,InsideTemp,EnergyCirculationPump,GreenEnergy,DeltaTemp,
1, 12.01  00:15:00,1.325,4.25,53.47976162,19.05241155,0.003639662,0,0,3.639661714
2, 12.01  00:30:00,1.25,4.5,53.87622061,18.99996049,0.004054282,0,-0.05245106,4.054282428
3, 12.01  00:45:00,1.175,4.75,54.05295516,18.99958676,0.004198963,0,-0.00037373,4.198963363
4, 12.01  01:00:00,1.1,5,54.12547692,19.00019172,0.004238958,0,0.00060496,4.238957793
5, 12.01  01:15:00,0.925,5.5,54.1470954,19.00068014,0.004245674,0,0.00048842,4.245674142
6, 12.01  01:30:00,0.75,6,54.14214232,19.00013974,0.004395655,0,-0.0005404,4.395655337
7, 12.01  01:45:00,0.575,6.5,54.1240141,19.00073336,0.004410261,0,0.00059362,4.410260856
8, 12.01  02:00:00,0.4,7,54.10225917,18.99981295,0.004490958,0,-0.00092041,4.490957661
9, 12.01  02:15:00,0.475,7,54.08101274,19.0007068,0.004492893,0,0.00089385,4.492892669
10, 12.01  02:30:00,0.55,7,54.06387208,18.99926528,0.004502469,0,-0.00144152,4.50246919
11, 12.01  02:45:00,0.625,7,54.04907363,19.0009736,0.004513552,0,0.00170832,4.513552374
12, 12.01  03:00:00,0.7,7,54.03690659,19.00104601,0.004509359,0,7.24E-05,4.509359061
13, 12.01  03:15:00,0.875,6.75,54.02836802,19.00122885,0.004487765,0,0.00018284,4.487764713
14, 12.01  03:30:00,1.05,6.5,54.0230865,18.99924144,0.004464392,0,-0.00198741,4.464391772
15, 12.01  03:45:00,1.225,6.25,54.01942688,18.99906336,0.004450216,0,-0.00017808,4.450216389
16, 12.01  04:00:00,1.4,6,54.01702499,19.00015889,0.004427949,0,0.00109553,4.427949
17, 12.01  04:15:00,1.55,6.25,53.37296113,18.99998397,0.0138628,0,-0.00017492,13.8628002
18, 12.01  04:30:00,1.7,6.5,52.96759169,19.00006831,0.014078235,0,8.43E-05,14.07823528
19, 12.01  04:45:00,1.85,6.75,52.95877397,18.99932908,0.011881439,0,-0.00073923,11.88143873
20, 12.01  05:00:00,2,7,53.02032592,18.99973825,0.011248717,0,0.00040917,11.2487168
21, 12.01  05:15:00,2.15,7,53.09290905,18.99912339,0.010973761,0,-0.00061486,10.97376123
22, 12.01  05:30:00,2.3,7,53.14579836,19.00042778,0.010839357,0,0.00130439,10.83935672
23, 12.01  05:45:00,2.45,7,53.18182854,18.99962588,0.010714032,0,-0.0008019,10.7140316
24, 12.01  06:00:00,2.6,7,53.20730395,19.00084887,0.010610978,0,0.00122299,10.61097816
25, 12.01  06:15:00,2.7,6.5,53.22793813,18.99926176,0.010474103,0,-0.00158711,10.47410293
26, 12.01  06:30:00,2.8,6,53.24612402,18.99927599,0.010362044,0,1.42E-05,10.36204442
27, 12.01  06:45:00,2.9,5.5,53.26282066,19.00048446,0.010237797,0,0.00120847,10.23779731
28, 12.01  07:00:00,3,5,53.08699365,19.00006407,0.0150772,0,-0.00042039,15.07719965
29, 12.01  07:15:00,3.075,5,52.85859181,19.00033997,0.016124428,0,0.0002759,16.12442838
30, 12.01  07:30:00,3.15,5,52.84194999,18.99937616,0.014139031,0,-0.00096381,14.13903075
31, 12.01  07:45:00,3.225,5,52.92823985,19.00063288,0.013410768,0,0.00125672,13.41076811
32, 12.01  08:00:00,3.3,5,53.04338763,19.00055361,0.011671172,0,-7.93E-05,11.67117216
33, 12.01  08:15:00,2.975,4.75,53.27707684,18.89787304,0.008391608,0,-0.10268057,8.391607845
34, 12.01  08:30:00,2.65,4.5,53.44566502,18.77233338,0.008628834,0,-0.12553966,8.628834495
35, 12.01  08:45:00,2.325,4.25,53.53031175,18.76993617,0.008307489,0.012764247,-0.00239721,8.307488666
36, 12.01  09:00:00,2,4,53.57380396,18.77022785,0.00825983,0.087564651,0.00029168,8.259829501
37, 12.01  09:15:00,1.95,4,53.77670062,17.53661603,0.004218212,0.149362338,-1.23361182,4.218211748
38, 12.01  09:30:00,1.9,4,54.04100106,17.06617741,0.004015439,0.211178571,-0.47043862,4.015438714
39, 12.01  09:45:00,1.85,4,54.19875908,16.91727624,0.003753623,0.305159995,-0.14890117,3.753623243
40, 12.01  10:00:00,1.8,4,54.29915078,16.69774085,0.003549024,0.40437062,-0.21953539,3.549023779
41, 12.01  10:15:00,2.075,4.5,54.1489285,16.67964655,0.003356923,0.506336334,-0.0180943,3.356923353
42, 12.01  10:30:00,2.35,5,53.78852121,16.78678224,0.00321086,0.609972714,0.10713569,3.21086047
43, 12.01  10:45:00,2.625,5.5,53.44558333,16.90797063,0.003130711,0.668610126,0.12118839,3.130710643
44, 12.01  11:00:00,2.9,6,53.11266721,17.00961555,0.003110413,0.726973448,0.10164492,3.110412553
45, 12.01  11:15:00,3.225,6,52.78423777,17.10636542,0.003136396,0.764494856,0.09674987,3.136395605
46, 12.01  11:30:00,3.55,6,52.46138528,17.21090331,0.003101305,0.81914288,0.10453789,3.101305394
47, 12.01  11:45:00,3.875,6,52.14841155,17.31650062,0.003041968,0.839028873,0.10559731,3.041967708
48, 12.01  12:00:00,4.2,6,51.84677047,17.41594757,0.002967804,0.855734593,0.09944695,2.967804382
49, 12.01  12:15:00,4.325,6,51.55416943,17.48353603,0.002946138,0.870644551,0.06758846,2.946137811
50, 12.01  12:30:00,4.45,6,51.26785597,17.61268982,0.002917331,0.882397112,0.12915379,2.917331387
51, 12.01  12:45:00,4.575,6,50.98723418,17.72297295,0.00290544,0.874589229,0.11028313,2.905440086
52, 12.01  13:00:00,4.7,6,50.71132426,17.81920791,0.002894177,0.862825438,0.09623496,2.894176671
53, 12.01  13:15:00,4.85,5.75,50.44112516,17.90644072,0.002857689,0.843452344,0.08723281,2.857688608
54, 12.01  13:30:00,5,5.5,50.17881883,17.99476784,0.002792727,0.800353229,0.08832712,2.792727445
55, 12.01  13:45:00,5.15,5.25,49.9248292,18.08408503,0.002742996,0.770141284,0.08931719,2.742995754
56, 12.01  14:00:00,5.3,5,49.67757512,18.17162239,0.002711276,0.733747828,0.08753736,2.711276373
57, 12.01  14:15:00,5.3,4.75,50.94171423,18.25711142,0.002699339,0.690328245,0.08548903,2.69933939
58, 12.01  14:30:00,5.3,4.5,52.72446516,18.3453932,0.002675924,0.626236563,0.08828178,2.675924496
59, 12.01  14:45:00,5.3,4.25,53.62804567,18.4251233,0.002635886,0.544021737,0.0797301,2.635885899
60, 12.01  15:00:00,5.3,4,54.09462255,18.47949053,0.002605763,0.4580744,0.05436723,2.605763468
61, 12.01  15:15:00,5.175,4.25,53.9209168,19.9102752,0.010026178,0.375730025,1.43078467,10.02617807
62, 12.01  15:30:00,5.05,4.5,53.80255494,19.79158948,0.00862077,0.29017265,-0.11868572,8.620770297
63, 12.01  15:45:00,4.925,4.75,53.74891784,19.70173879,0.0088741,0.215557466,-0.08985069,8.874100082
64, 12.01  16:00:00,4.8,5,53.69941944,19.69890659,0.008050097,0.15238099,-0.0028322,8.050097261
65, 12.01  16:15:00,4.3,4.5,53.65336798,19.70297875,0.008892904,0,0.00407216,8.892904438
66, 12.01  16:30:00,3.8,4,53.57332576,19.70442987,0.009247618,0,0.00145112,9.247618438
67, 12.01  16:45:00,3.3,3.5,53.49847627,19.705632,0.009550399,0,0.00120213,9.550399095
68, 12.01  17:00:00,2.8,3,53.54411882,19.70520753,0.007310541,0,-0.00042447,7.310541088
69, 12.01  17:15:00,2.6,3.5,53.42310679,18.43254477,0.003093988,0,-1.27266276,3.093987752
70, 12.01  17:30:00,2.4,4,53.05991062,17.950038,0.003182596,0,-0.48250677,3.182595549
71, 12.01  17:45:00,2.2,4.5,52.69751433,17.79135045,0.003268412,0,-0.15868755,3.268412047
72, 12.01  18:00:00,2,5,52.33592374,17.51432633,0.003359753,0,-0.27702412,3.359753195
73, 12.01  18:15:00,1.9,4.75,51.97752821,17.5339739,0.003401041,0,0.01964757,3.40104086
74, 12.01  18:30:00,1.8,4.5,51.62533977,17.67357116,0.003434321,0,0.13959726,3.434321332
75, 12.01  18:45:00,1.7,4.25,51.27982743,17.74482386,0.003466725,0,0.0712527,3.46672507
76, 12.01  19:00:00,1.6,4,50.94030786,17.75573769,0.003498616,0,0.01091383,3.498616395
77, 12.01  19:15:00,1.425,4,50.60311226,17.74330188,0.003610809,0,-0.01243581,3.610808832
78, 12.01  19:30:00,1.25,4,50.26537351,17.72357445,0.003711471,0,-0.01972743,3.711471061
79, 12.01  19:45:00,1.075,4,49.92706909,17.70875017,0.003837708,0,-0.01482428,3.837707826
80, 12.01  20:00:00,0.9,4,49.58780542,17.69604368,0.003961757,0,-0.01270649,3.961756545
81, 12.01  20:15:00,0.9,4.25,49.24879726,17.69075025,0.0040748,0,-0.00529343,4.074800011
82, 12.01  20:30:00,0.9,4.5,48.91083127,17.68503835,0.004193835,0,-0.0057119,4.19383455
83, 12.01  20:45:00,0.9,4.75,48.5743091,17.68242185,0.004309032,0,-0.0026165,4.309032126
84, 12.01  21:00:00,0.9,5,48.24184663,17.67858641,0.004364021,0,-0.00383544,4.364021371
85, 12.01  21:15:00,0.85,4.75,49.78140219,17.68898702,0.004390755,0,0.01040061,4.390755256
86, 12.01  21:30:00,0.8,4.5,51.88035124,17.70347422,0.004397061,0,0.0144872,4.397061338
87, 12.01  21:45:00,0.75,4.25,52.90055594,17.71522315,0.004381072,0,0.01174893,4.381071801
88, 12.01  22:00:00,0.7,4,53.53225198,17.719703,0.00436566,0,0.00447985,4.365660195
89, 12.01  22:15:00,0.625,4,53.61263494,17.98987148,0.010434033,0,0.27016848,10.43403343
90, 12.01  22:30:00,0.55,4,53.73781115,17.8989996,0.008202844,0,-0.09087188,8.202844172
91, 12.01  22:45:00,0.475,4,53.7939391,17.80609899,0.007966657,0,-0.09290061,7.966657492
92, 12.01  23:00:00,0.4,4,53.82642283,17.80830911,0.007567829,0,0.00221012,7.567829462
93, 12.01  23:15:00,0.4,4.25,53.44943333,19.77352423,0.015065079,0,1.96521512,15.06507873
94, 12.01  23:30:00,0.4,4.5,53.46906119,19.72166662,0.009395313,0,-0.05185761,9.395312854
95, 12.01  23:45:00,0.4,4.75,53.40612484,19.71688989,0.01193577,0,-0.00477673,11.93576961
96, 12.01  24:00:00,0.4,5,53.2933122,19.71655266,0.011245807,0,-0.00033723,11.24580701
97, 12.02  00:15:00,0.3,5,53.73941284,18.28648847,0,0,-1.43006419,0
98, 12.02  00:30:00,0.2,5,54.35753478,17.58198937,0,0,-0.7044991,0
99, 12.02  00:45:00,0.1,5,54.67075859,17.23400955,0,0,-0.34797982,0
100, 12.02  01:00:00,0,5,54.82944424,17.05540614,0,0,-0.17860341,0
101, 12.02  01:15:00,0.2,5,54.90982801,16.86858179,0,0,-0.18682435,0
102, 12.02  01:30:00,0.4,5,54.95054466,16.7546518,0,0,-0.11392999,0
103, 12.02  01:45:00,0.6,5,54.97255552,16.70557444,0,0,-0.04907736,0
104, 12.02  02:00:00,0.8,5,54.98895813,16.67902416,0,0,-0.02655028,0
105, 12.02  02:15:00,0.725,4.75,55.00565226,16.64374866,0,0,-0.0352755,0
106, 12.02  02:30:00,0.65,4.5,55.01069451,16.59506874,0,0,-0.04867992,0
107, 12.02  02:45:00,0.575,4.25,55.00547961,16.54451219,0,0,-0.05055655,0
108, 12.02  03:00:00,0.5,4,55.00026335,16.49732745,0,0,-0.04718474,0
109, 12.02  03:15:00,0.325,4.25,54.99504567,16.44656831,0,0,-0.05075914,0
110, 12.02  03:30:00,0.15,4.5,54.98982603,16.38650882,0,0,-0.06005949,0
111, 12.02  03:45:00,-0.025,4.75,54.98460325,16.32313369,0,0,-0.06337513,0
112, 12.02  04:00:00,-0.2,5,54.97937659,16.25845636,0,0,-0.06467733,0
113, 12.02  04:15:00,-0.175,4.75,54.97414591,16.2073365,0,0,-0.05111986,0
114, 12.02  04:30:00,-0.15,4.5,54.96891222,16.16855191,0,0,-0.03878459,0
115, 12.02  04:45:00,-0.125,4.25,54.96367722,16.13417917,0,0,-0.03437274,0
116, 12.02  05:00:00,-0.1,4,54.95844182,16.10024696,0,0,-0.03393221,0
117, 12.02  05:15:00,0.025,3.75,54.95320606,16.07385539,0,0,-0.02639157,0
118, 12.02  05:30:00,0.15,3.5,54.94797,16.05048738,0,0,-0.02336801,0
119, 12.02  05:45:00,0.275,3.25,54.94273497,16.02656447,0,0,-0.02392291,0
120, 12.02  06:00:00,0.4,3,54.93750206,16.00527939,0,0,-0.02128508,0
121, 12.02  06:15:00,0.675,3,54.93227069,15.99146564,0,0,-0.01381375,0
122, 12.02  06:30:00,0.95,3,54.92704003,15.97925967,0,0,-0.01220597,0
123, 12.02  06:45:00,1.225,3,54.92180943,15.96768616,0,0,-0.01157351,0
124, 12.02  07:00:00,1.5,3,54.91657897,15.95782724,0,0,-0.00985892,0
125, 12.02  07:15:00,1.7,2.75,53.46172973,19.43028726,0.028014268,0,3.47246002,28.01426771
126, 12.02  07:30:00,1.9,2.5,52.63468809,19.99033171,0.028138372,0,0.56004445,28.13837167
127, 12.02  07:45:00,2.1,2.25,52.33294981,20.0007692,0.025426078,0,0.01043749,25.42607793
128, 12.02  08:00:00,2.3,2,52.32132127,20.00075382,0.023429987,0,-1.54E-05,23.42998723
129, 12.02  08:15:00,1.8,2,52.33403837,19.73427584,0.023064117,0,-0.26647798,23.06411735
130, 12.02  08:30:00,1.3,2,52.33018353,19.73224922,0.023432677,0,-0.00202662,23.43267735
131, 12.02  08:45:00,0.8,2,52.31986081,19.73303386,0.023185201,0,0.00078464,23.18520068
132, 12.02  09:00:00,0.3,2,52.31535601,19.73178657,0.023199865,0,-0.00124729,23.19986457
133, 12.02  09:15:00,0.375,1.5,52.3172048,19.73272856,0.022966289,0,0.00094199,22.96628891
134, 12.02  09:30:00,0.45,1,52.32936976,19.73208344,0.022728114,0,-0.00064512,22.7281141
135, 12.02  09:45:00,0.525,0.5,52.35377491,19.73072448,0.022205236,0,-0.00135896,22.20523647
136, 12.02  10:00:00,0.6,0,52.38690727,19.73168155,0.02165791,0,0.00095707,21.6579098
137, 12.02  10:15:00,0.85,0,51.56497892,19.72997242,0.021236939,0,-0.00170913,21.23693895
138, 12.02  10:30:00,1.1,0,49.97731724,19.72913706,0.021383225,0.045473914,-0.00083536,21.38322529
139, 12.02  10:45:00,1.35,0,48.48504851,19.72951457,0.022121467,0.053888984,0.00037751,22.12146661
140, 12.02  11:00:00,1.6,0,47.06027704,19.72937507,0.023014981,0.062308932,-0.0001395,23.01498121
141, 12.02  11:15:00,1.95,0.75,45.6985541,19.72895248,0.023696917,0.071966678,-0.00042259,23.69691672
142, 12.02  11:30:00,2.3,1.5,44.38959743,19.72716413,0.024537639,0.081937782,-0.00178835,24.53763934
143, 12.02  11:45:00,2.65,2.25,43.11671038,19.72795725,0.025604242,0.079334525,0.00079312,25.60424166
144, 12.02  12:00:00,3,3,41.72219281,19.87487974,0.035386483,0.076855303,0.14692249,35.38648328
145, 12.02  12:15:00,3.275,3,40.3361119,19.84787822,0.035259949,0.074473749,-0.02700152,35.2599488
146, 12.02  12:30:00,3.55,3,39.06417186,19.80550547,0.035932265,0.07236139,-0.04237275,35.93226489
147, 12.02  12:45:00,3.825,3,39.94729381,19.87525056,0.03641834,0.065011965,0.06974509,36.41834044
148, 12.02  13:00:00,4.1,3,39.3360685,19.84816306,0.036120264,0.058077745,-0.0270875,36.12026422
149, 12.02  13:15:00,4.225,3.25,40.28663015,19.84743603,0.035917514,0.052056338,-0.00072703,35.91751418
150, 12.02  13:30:00,4.35,3.5,39.71776666,19.80444868,0.035673706,0.046117963,-0.04298735,35.67370617
151, 12.02  13:45:00,4.475,3.75,40.66330904,19.87496149,0.035894412,0.043273745,0.07051281,35.89441208
152, 12.02  14:00:00,4.6,4,39.19562607,19.80503822,0.035593244,0.040453942,-0.06992327,35.59324428
153, 12.02  14:15:00,4.575,4.25,40.28129076,19.87462909,0.036252964,0.037720231,0.06959087,36.25296429
154, 12.02  14:30:00,4.55,4.5,41.49562986,19.84744306,0.035618912,0,-0.02718603,35.61891203
155, 12.02  14:45:00,4.525,4.75,41.74209665,19.80405375,0.035234186,0,-0.04338931,35.23418646
156, 12.02  15:00:00,4.5,5,41.93233757,19.84673078,0.035356233,0,0.04267703,35.35623277
157, 12.02  15:15:00,4.55,5,42.15050747,19.80415701,0.035045559,0,-0.04257377,35.04555871
158, 12.02  15:30:00,4.6,5,42.35787801,19.84671364,0.035143009,0,0.04255663,35.14300914
159, 12.02  15:45:00,4.65,5,42.57335489,19.80364547,0.034879587,0,-0.04306817,34.87958689
160, 12.02  16:00:00,4.7,5,42.7828148,19.80369501,0.034721081,0,4.95E-05,34.72108072
161, 12.02  16:15:00,4.8,5,42.98765599,19.80314967,0.034615425,0,-0.00054534,34.61542505
162, 12.02  16:30:00,4.9,5,43.19239165,19.80327571,0.034205142,0,0.00012604,34.20514244
163, 12.02  16:45:00,5,5,43.39537795,19.80320274,0.03378016,0,-7.30E-05,33.78015965
164, 12.02  17:00:00,5.1,5,43.59248467,19.84617389,0.033368392,0,0.04297115,33.36839229
165, 12.02  17:15:00,5.15,4.75,42.89726663,19.80341912,0.033022939,0,-0.04275477,33.02293906
166, 12.02  17:30:00,5.2,4.5,41.42261474,19.80326258,0.033976126,0,-0.00015654,33.97612557
167, 12.02  17:45:00,5.25,4.25,40.07734105,19.80240282,0.035007014,0,-0.00085976,35.00701406
168, 12.02  18:00:00,5.3,4,38.8332114,19.80210897,0.035566498,0,-0.00029385,35.56649848
169, 12.02  18:15:00,5.375,3.75,37.70476463,19.80304987,0.033848853,0,0.0009409,33.84885279
170, 12.02  18:30:00,5.45,3.5,36.70005511,19.8027991,0.033999993,0,-0.00025077,33.99999344
171, 12.02  18:45:00,5.525,3.25,35.76118318,19.80241963,0.034186188,0,-0.00037947,34.18618844
172, 12.02  19:00:00,5.6,3,34.86699075,19.84628909,0.035033362,0,0.04386946,35.03336218
173, 12.02  19:15:00,5.725,2.75,34.01204926,19.84570464,0.035327768,0,-0.00058445,35.32776844
174, 12.02  19:30:00,5.85,2.5,33.19333209,19.84540353,0.036237491,0,-0.00030111,36.23749106
175, 12.02  19:45:00,5.975,2.25,32.41057678,19.84595557,0.037010749,0,0.00055204,37.0107491
176, 12.02  20:00:00,6.1,2,31.65746957,19.84575296,0.038955179,0,-0.00020261,38.95517936
177, 12.02  20:15:00,6.625,2.25,34.59937288,19.87124314,0.038053714,0,0.02549018,38.05371356
178, 12.02  20:30:00,7.15,2.5,37.386374,19.84534558,0.033951212,0,-0.02589756,33.95121221
179, 12.02  20:45:00,7.675,2.75,38.0071612,19.84506243,0.033058303,0,-0.00028315,33.05830344
180, 12.02  21:00:00,8.2,3,38.42199346,19.80023832,0.032549013,0,-0.04482411,32.54901311
181, 12.02  21:15:00,8.45,3.5,38.86272177,19.79954103,0.031570167,0,-0.00069729,31.57016701
182, 12.02  21:30:00,8.7,4,39.31781049,19.799625,0.030653994,0,8.40E-05,30.65399405
183, 12.02  21:45:00,8.95,4.5,39.81090389,19.71845314,0.02946058,0,-0.08117186,29.46058006
184, 12.02  22:00:00,9.2,5,40.24652519,19.79872172,0.028959913,0,0.08026858,28.95991342
185, 12.02  22:15:00,9.3,5.5,40.66337568,19.84368413,0.02972639,0,0.04496241,29.72639014
186, 12.02  22:30:00,9.4,6,41.07291795,19.71804789,0.029323089,0,-0.12563624,29.32308862
187, 12.02  22:45:00,9.5,6.5,41.46367464,19.71578667,0.028706854,0,-0.00226122,28.70685439
188, 12.02  23:00:00,9.6,7,41.84553038,19.71646498,0.028123457,0,0.00067831,28.12345671
189, 12.02  23:15:00,9.6,7,42.2188427,19.71665778,0.027802308,0,0.0001928,27.80230822
190, 12.02  23:30:00,9.6,7,42.58705746,19.71609373,0.027236122,0,-0.00056405,27.23612205
191, 12.02  23:45:00,9.6,7,42.95717082,19.71651213,0.026380232,0,0.0004184,26.38023205
192, 12.02  24:00:00,9.6,7,43.32292381,19.71548929,0.025863248,0,-0.00102284,25.86324784
193, 12.03  00:15:00,9.65,7.25,44.22007626,18.62950788,0,0,-1.08598141,0
194, 12.03  00:30:00,9.7,7.5,45.44567879,18.13758992,0,0,-0.49191796,0
